TestFile,Algorithm,Cmax,Time_ns
"../tests/9.txt",lpt,829,5712
"../tests/9.txt",lsa,1007,1984
"../tests/9.txt",pd,829,2936
"../tests/9.txt",ptas,829,2345
"../tests/9.txt",fptas,829,2335
"../tests/9.txt",opt,968,120949312
"../tests/20.txt",lpt,1506,10051
"../tests/20.txt",lsa,2502,2525
"../tests/20.txt",pd,1506,5371
"../tests/20.txt",ptas,1506,5090
"../tests/20.txt",fptas,1506,5161
"../tests/20.txt",opt,0,28629
"../tests/11.txt",lpt,830,3227
"../tests/11.txt",lsa,1264,1693
"../tests/11.txt",pd,830,3076
"../tests/11.txt",ptas,830,2726
"../tests/11.txt",fptas,830,2765
"../tests/11.txt",opt,933,14469378369
"../tests/7.txt",lpt,522,3337
"../tests/7.txt",lsa,826,1373
"../tests/7.txt",pd,522,2004
"../tests/7.txt",ptas,522,1904
"../tests/7.txt",fptas,522,1904
"../tests/7.txt",opt,645,1483723
"../tests/10.txt",lpt,644,2565
"../tests/10.txt",lsa,1052,1533
"../tests/10.txt",pd,644,2455
"../tests/10.txt",ptas,644,2465
"../tests/10.txt",fptas,644,2475
"../tests/10.txt",opt,859,1316275170
"../tests/50.txt",lpt,3187,12766
"../tests/50.txt",lsa,4840,3717
"../tests/50.txt",pd,3187,9650
"../tests/50.txt",ptas,3187,9439
"../tests/50.txt",fptas,3187,9169
"../tests/50.txt",opt,0,5161
"../tests/5.txt",lpt,300,1473
"../tests/5.txt",lsa,300,902
"../tests/5.txt",pd,300,1383
"../tests/5.txt",ptas,300,1343
"../tests/5.txt",fptas,300,1313
"../tests/5.txt",opt,344,34099
